Probe Set ID,Gene Title,Gene Symbol
1415798_PM_at,"discoidin domain receptor family, member 1",Ddr1
1415799_PM_at,WW domain binding protein 11,Wbp11
1415800_PM_at,"gap junction protein, alpha 1",Gja1
1415801_PM_at,"gap junction protein, alpha 1",Gja1
1415802_PM_at,"solute carrier family 16 (monocarboxylic acid transporters), member 1",Slc16a1
1415803_PM_at,chemokine (C-X3-C motif) ligand 1,Cx3cl1
1415804_PM_at,chemokine (C-X3-C motif) ligand 1,Cx3cl1
1415805_PM_at,"colipase, pancreatic",Clps
1415806_PM_at,"plasminogen activator, tissue",Plat
1415807_PM_s_at,serine/arginine-rich splicing factor 2,Srsf2
1415808_PM_at,trophoblast specific protein alpha,Tpbpa
1415809_PM_at,trophoblast specific protein alpha,Tpbpa
1415810_PM_at,"ubiquitin-like, containing PHD and RING finger domains, 1",Uhrf1
1415811_PM_at,"ubiquitin-like, containing PHD and RING finger domains, 1",Uhrf1
1415812_PM_at,gelsolin,Gsn
1415813_PM_at,apoptosis inhibitor 5,Api5
1415814_PM_at,"ATPase, H+ transporting, lysosomal V1 subunit B2",Atp6v1b2
1415815_PM_at,tripartite motif-containing 27,Trim27
1415816_PM_at,"chaperonin containing Tcp1, subunit 7 (eta)",Cct7
1415817_PM_s_at,"chaperonin containing Tcp1, subunit 7 (eta)",Cct7
1415818_PM_at,annexin A6,Anxa6
1415819_PM_a_at,"protein phosphatase 2, regulatory subunit A, alpha",Ppp2r1a
1415820_PM_x_at,"non-POU-domain-containing, octamer binding protein",Nono
1415821_PM_at,neuroplastin,Nptn
1415822_PM_at,stearoyl-Coenzyme A desaturase 2,Scd2
1415823_PM_at,stearoyl-Coenzyme A desaturase 2,Scd2
1415824_PM_at,stearoyl-Coenzyme A desaturase 2,Scd2
1415825_PM_s_at,"casein kinase 1, delta",Csnk1d
1415826_PM_at,"ATPase, H+ transporting, lysosomal V1 subunit H",Atp6v1h
1415827_PM_a_at,stress-associated endoplasmic reticulum protein 1,Serp1
1415828_PM_a_at,stress-associated endoplasmic reticulum protein 1,Serp1
1415829_PM_at,lamin B receptor,Lbr
1415830_PM_at,"origin recognition complex, subunit 5",Orc5
1415831_PM_at,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2",Psmd2
1415832_PM_at,"angiotensin II receptor, type 2",Agtr2
1415833_PM_x_at,ribosomal protein S29,Rps29
1415834_PM_at,dual specificity phosphatase 6,Dusp6
1415835_PM_at,"prolactin family 3, subfamily b, member 1",Prl3b1
1415836_PM_at,"aldehyde dehydrogenase 18 family, member A1",Aldh18a1
1415837_PM_at,kallikrein 1,Klk1
1415838_PM_at,serine incorporator 1,Serinc1
1415839_PM_a_at,nucleophosmin 1,Npm1
1415840_PM_at,"ELOVL family member 5, elongation of long chain fatty acids (yeast)",Elovl5
1415841_PM_at,dynein cytoplasmic 1 intermediate chain 2,Dync1i2
1415842_PM_at,"MTOR associated protein, LST8 homolog (S. cerevisiae)",Mlst8
1415843_PM_at,"MTOR associated protein, LST8 homolog (S. cerevisiae)",Mlst8
1415844_PM_at,synaptotagmin IV,Syt4
1415845_PM_at,synaptotagmin IV,Syt4
1415846_PM_a_at,lactate dehydrogenase C,Ldhc
1415847_PM_at,lactate dehydrogenase C,Ldhc
1415848_PM_at,"prolactin family 3, subfamily d, member 1",Prl3d1
1415849_PM_s_at,stathmin 1,Stmn1
1415850_PM_at,RAS p21 protein activator 3,Rasa3
1415851_PM_a_at,predicted gene 15210 /// inosine 5'-phosphate dehydrogenase 2,Gm15210 /// Impdh2
1415852_PM_at,predicted gene 15210 /// inosine 5'-phosphate dehydrogenase 2,Gm15210 /// Impdh2
1415853_PM_at,differentially expressed in FDCP 8,Def8
1415854_PM_at,kit ligand,Kitl
1415855_PM_at,kit ligand,Kitl
1415856_PM_at,embigin,Emb
1415857_PM_at,embigin,Emb
1415858_PM_at,"eukaryotic translation initiation factor 3, subunit C",Eif3c
1415859_PM_at,"eukaryotic translation initiation factor 3, subunit C",Eif3c
1415860_PM_at,karyopherin (importin) alpha 2,Kpna2
1415861_PM_at,tyrosinase-related protein 1,Tyrp1
1415862_PM_at,tyrosinase-related protein 1,Tyrp1
1415863_PM_at,"eukaryotic translation initiation factor 4, gamma 2",Eif4g2
1415864_PM_at,"2,3-bisphosphoglycerate mutase",Bpgm
1415865_PM_s_at,"2,3-bisphosphoglycerate mutase",Bpgm
1415866_PM_at,unc-45 homolog A (C. elegans),Unc45a
1415867_PM_at,"chaperonin containing Tcp1, subunit 4 (delta)",Cct4
1415868_PM_at,"chaperonin containing Tcp1, subunit 4 (delta)",Cct4
1415869_PM_a_at,tripartite motif-containing 28,Trim28
1415870_PM_at,calumenin,Calu
1415871_PM_at,"transforming growth factor, beta induced",Tgfbi
1415872_PM_at,heterogeneous nuclear ribonucleoprotein H1,Hnrnph1
1415873_PM_a_at,"ARP1 actin-related protein 1A, centractin alpha",Actr1a
1415874_PM_at,sprouty homolog 1 (Drosophila),Spry1
1415875_PM_at,RIKEN cDNA 3010003L21 gene,3010003L21Rik
1415876_PM_a_at,ribosomal protein S26,Rps26
1415877_PM_at,dihydropyrimidinase-like 3,Dpysl3
1415878_PM_at,ribonucleotide reductase M1,Rrm1
1415879_PM_a_at,"ribosomal protein, large P2",Rplp2
1415880_PM_a_at,lysosomal-associated membrane protein 1,Lamp1
1415881_PM_at,growth hormone inducible transmembrane protein,Ghitm
1415882_PM_at,growth hormone inducible transmembrane protein,Ghitm
1415883_PM_a_at,"chymotrypsin-like elastase family, member 3B",Cela3b
1415884_PM_at,"chymotrypsin-like elastase family, member 3B",Cela3b
1415885_PM_at,chromogranin B,Chgb
1415886_PM_at,SH2 domain containing 3C,Sh2d3c
1415887_PM_at,Trk-fused gene,Tfg
1415888_PM_at,hepatoma-derived growth factor,Hdgf
1415889_PM_a_at,"heat shock protein 90, beta (Grp94), member 1",Hsp90b1
1415890_PM_at,3'-phosphoadenosine 5'-phosphosulfate synthase 1,Papss1
1415891_PM_at,"succinate-CoA ligase, GDP-forming, alpha subunit",Suclg1
1415892_PM_at,sphingosine phosphate lyase 1,Sgpl1
1415893_PM_at,sphingosine phosphate lyase 1,Sgpl1
1415894_PM_at,ectonucleotide pyrophosphatase/phosphodiesterase 2,Enpp2
1415895_PM_at,small nuclear ribonucleoprotein N /// SNRPN upstream reading frame,Snrpn /// Snurf
1415896_PM_x_at,small nuclear ribonucleoprotein N /// SNRPN upstream reading frame,Snrpn /// Snurf
1415897_PM_a_at,microsomal glutathione S-transferase 1,Mgst1
1415898_PM_at,microsomal glutathione S-transferase 1,Mgst1
1415899_PM_at,jun B proto-oncogene,Junb
1415900_PM_a_at,kit oncogene,Kit
1415901_PM_at,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3",Plod3
1415902_PM_at,"aldehyde dehydrogenase family 7, member A1",Aldh7a1
1415903_PM_at,"solute carrier family 38, member 1",Slc38a1
1415904_PM_at,lipoprotein lipase,Lpl
1415905_PM_at,regenerating islet-derived 1,Reg1
1415906_PM_at,"thymosin, beta 4, X chromosome",Tmsb4x
1415907_PM_at,cyclin D3,Ccnd3
1415908_PM_at,"testis-specific protein, Y-encoded-like 1",Tspyl1
1415909_PM_at,stress-induced phosphoprotein 1,Stip1
1415910_PM_s_at,cytokine induced apoptosis inhibitor 1,Ciapin1
1415911_PM_at,"impact, RWD domain protein",Impact
1415912_PM_a_at,"predicted gene 15483 /// 40S ribosomal protein S13-like /// ribosomal protein S13 /// ribosomal protein S13, pseudogene 4",Gm15483 /// LOC102642137 /// Rps13 /// Rps13-ps4
1415913_PM_at,"predicted gene 15483 /// 40S ribosomal protein S13-like /// ribosomal protein S13 /// ribosomal protein S13, pseudogene 4",Gm15483 /// LOC102642137 /// Rps13 /// Rps13-ps4
1415914_PM_at,heterogeneous nuclear ribonucleoprotein A/B,Hnrnpab
1415915_PM_at,DEAD (Asp-Glu-Ala-Asp) box polypeptide 1,Ddx1
1415916_PM_a_at,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase",Mthfd1
1415917_PM_at,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase",Mthfd1
1415918_PM_a_at,triosephosphate isomerase 1,Tpi1
1415919_PM_at,"neural proliferation, differentiation and control 1",Npdc1
1415920_PM_at,"cleavage stimulation factor, 3' pre-RNA subunit 2, tau",Cstf2t
1415921_PM_a_at,"tumor necrosis factor receptor superfamily, member 19",Tnfrsf19
1415922_PM_s_at,MARCKS-like 1,Marcksl1
1415923_PM_at,necdin,Ndn
1415924_PM_at,transition protein 1,Tnp1
1415925_PM_a_at,nucleoporin 62,Nup62
1415926_PM_at,nucleoporin 62,Nup62
1415927_PM_at,"actin, alpha, cardiac muscle 1",Actc1
1415928_PM_a_at,microtubule-associated protein 1 light chain 3 beta,Map1lc3b
1415929_PM_at,microtubule-associated protein 1 light chain 3 beta,Map1lc3b
1415930_PM_a_at,microtubule-associated protein 1 light chain 3 beta,Map1lc3b
1415931_PM_at,insulin-like growth factor 2,Igf2
1415932_PM_x_at,"ATPase, class II, type 9A",Atp9a
1415933_PM_a_at,cytochrome c oxidase subunit Va,Cox5a
1415934_PM_at,"COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana)",Cops8
1415935_PM_at,SPARC related modular calcium binding 2,Smoc2
1415936_PM_at,breast cancer anti-estrogen resistance 3,Bcar3
1415937_PM_s_at,programmed cell death 6 interacting protein,Pdcd6ip
1415938_PM_at,"serine peptidase inhibitor, Kazal type 3",Spink3
1415939_PM_at,fibromodulin,Fmod
1415940_PM_at,"zinc finger, AN1-type domain 2A",Zfand2a
1415941_PM_s_at,"zinc finger, AN1-type domain 2A",Zfand2a
1415942_PM_at,predicted gene 5621 /// ribosomal protein L10,Gm5621 /// Rpl10
1415943_PM_at,syndecan 1,Sdc1
1415944_PM_at,syndecan 1,Sdc1
1415945_PM_at,"minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)",Mcm5
1415946_PM_at,"phosphatidylinositol glycan anchor biosynthesis, class Q",Pigq
1415947_PM_at,cellular repressor of E1A-stimulated genes 1,Creg1
1415948_PM_at,cellular repressor of E1A-stimulated genes 1,Creg1
1415949_PM_at,carboxypeptidase E,Cpe
1415950_PM_a_at,phosphatidylethanolamine binding protein 1,Pebp1
1415951_PM_at,FK506 binding protein 10,Fkbp10
1415952_PM_at,MAP/microtubule affinity-regulating kinase 2,Mark2
1415953_PM_s_at,MAP/microtubule affinity-regulating kinase 2,Mark2
1415954_PM_at,trypsin 4 /// trypsin 5,Try4 /// Try5
1415955_PM_x_at,protamine 1,Prm1
1415956_PM_a_at,cyclin-dependent kinase 16,Cdk16
1415957_PM_a_at,ribosomal RNA processing 1 homolog (S. cerevisiae),Rrp1
1415958_PM_at,"solute carrier family 2 (facilitated glucose transporter), member 4",Slc2a4
1415959_PM_at,"solute carrier family 2 (facilitated glucose transporter), member 4",Slc2a4
1415960_PM_at,myeloperoxidase,Mpo
1415961_PM_at,integral membrane protein 2C,Itm2c
1415962_PM_at,"eukaryotic translation initiation factor 3, subunit H",Eif3h
1415963_PM_at,heterogeneous nuclear ribonucleoprotein H2,Hnrnph2
1415964_PM_at,stearoyl-Coenzyme A desaturase 1,Scd1
1415965_PM_at,stearoyl-Coenzyme A desaturase 1,Scd1
1415966_PM_a_at,NADH dehydrogenase (ubiquinone) flavoprotein 1,Ndufv1
1415967_PM_at,NADH dehydrogenase (ubiquinone) flavoprotein 1,Ndufv1
1415968_PM_a_at,kidney androgen regulated protein,Kap
1415969_PM_s_at,kidney androgen regulated protein,Kap
1415970_PM_at,cytochrome c oxidase subunit VIc,Cox6c
1415971_PM_at,myristoylated alanine rich protein kinase C substrate,Marcks
1415972_PM_at,myristoylated alanine rich protein kinase C substrate,Marcks
1415973_PM_at,myristoylated alanine rich protein kinase C substrate,Marcks
1415974_PM_at,mitogen-activated protein kinase kinase 2,Map2k2
1415975_PM_at,calcium regulated heat stable protein 1,Carhsp1
1415976_PM_a_at,calcium regulated heat stable protein 1,Carhsp1
1415977_PM_at,myo-inositol 1-phosphate synthase A1,Isyna1
1415978_PM_at,"tubulin, beta 3 class III",Tubb3
1415979_PM_x_at,ribosomal protein L7,Rpl7
1415980_PM_at,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)",Atp5g2
1415981_PM_at,HERPUD family member 2,Herpud2
1415982_PM_at,HERPUD family member 2,Herpud2
1415983_PM_at,lymphocyte cytosolic protein 1,Lcp1
1415984_PM_at,"acyl-Coenzyme A dehydrogenase, medium chain",Acadm
1415985_PM_at,"splicing factor 3b, subunit 3",Sf3b3
1415986_PM_at,chloride channel 4-2,Clcn4-2
1415987_PM_at,high density lipoprotein (HDL) binding protein,Hdlbp
1415988_PM_at,high density lipoprotein (HDL) binding protein,Hdlbp
1415989_PM_at,vascular cell adhesion molecule 1,Vcam1
1415990_PM_at,voltage-dependent anion channel 2,Vdac2
1415991_PM_a_at,kelch domain containing 3,Klhdc3
1415992_PM_at,"phosphatidylinositol glycan anchor biosynthesis, class O",Pigo
1415993_PM_at,squalene epoxidase,Sqle
1415994_PM_at,"cytochrome P450, family 2, subfamily e, polypeptide 1",Cyp2e1
1415995_PM_at,caspase 6,Casp6
1415996_PM_at,thioredoxin interacting protein,Txnip
1415997_PM_at,thioredoxin interacting protein,Txnip
1415998_PM_at,voltage-dependent anion channel 1,Vdac1
1415999_PM_at,hairy/enhancer-of-split related with YRPW motif 1,Hey1
1416000_PM_a_at,peroxiredoxin 1 pseudogene /// peroxiredoxin 1,Gm21399 /// Prdx1
1416001_PM_a_at,coactosin-like 1 (Dictyostelium),Cotl1
1416002_PM_x_at,coactosin-like 1 (Dictyostelium),Cotl1
1416003_PM_at,claudin 11,Cldn11
1416004_PM_at,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide",Ywhah
1416005_PM_at,"protease (prosome, macropain) 26S subunit, ATPase 1",Psmc1
1416006_PM_at,midkine,Mdk
1416007_PM_at,special AT-rich sequence binding protein 1,Satb1
1416008_PM_at,special AT-rich sequence binding protein 1,Satb1
1416009_PM_at,tetraspanin 3,Tspan3
1416010_PM_a_at,EH-domain containing 1,Ehd1
1416011_PM_x_at,EH-domain containing 1,Ehd1
1416012_PM_at,EH-domain containing 1,Ehd1
1416013_PM_at,"phospholipase D family, member 3",Pld3
1416014_PM_at,"ATP-binding cassette, sub-family E (OABP), member 1",Abce1
1416015_PM_s_at,"ATP-binding cassette, sub-family E (OABP), member 1",Abce1
1416016_PM_at,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",Tap1
1416017_PM_at,"coatomer protein complex, subunit gamma 1",Copg1
1416018_PM_at,down-regulator of transcription 1,Dr1
1416019_PM_at,down-regulator of transcription 1,Dr1
1416020_PM_a_at,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)",Atp5g1
1416021_PM_a_at,"fatty acid binding protein 5, epidermal",Fabp5
1416022_PM_at,"fatty acid binding protein 5, epidermal",Fabp5
1416023_PM_at,"fatty acid binding protein 3, muscle and heart",Fabp3
1416024_PM_x_at,"chaperonin containing Tcp1, subunit 3 (gamma)",Cct3
1416025_PM_at,fibrinogen gamma chain,Fgg
1416026_PM_a_at,60S ribosomal protein L12-like /// ribosomal protein L12,LOC102635048 /// Rpl12
1416027_PM_at,programmed cell death 6,Pdcd6
1416028_PM_a_at,hematological and neurological expressed sequence 1,Hn1
1416029_PM_at,Kruppel-like factor 10,Klf10
1416030_PM_a_at,minichromosome maintenance deficient 7 (S. cerevisiae),Mcm7
1416031_PM_s_at,minichromosome maintenance deficient 7 (S. cerevisiae),Mcm7
1416032_PM_at,transmembrane protein 109,Tmem109
1416033_PM_at,transmembrane protein 109,Tmem109
1416034_PM_at,CD24a antigen,Cd24a
1416035_PM_at,"hypoxia inducible factor 1, alpha subunit",Hif1a
1416036_PM_at,FK506 binding protein 1a,Fkbp1a
1416037_PM_a_at,"chaperonin containing Tcp1, subunit 2 (beta)",Cct2
1416038_PM_at,staphylococcal nuclease and tudor domain containing 1,Snd1
1416039_PM_x_at,cysteine rich protein 61,Cyr61
1416040_PM_at,"lipase, gastric",Lipf
1416041_PM_at,serum/glucocorticoid regulated kinase 1,Sgk1
1416042_PM_s_at,nuclear autoantigenic sperm protein (histone-binding),Nasp
1416043_PM_at,nuclear autoantigenic sperm protein (histone-binding),Nasp
1416044_PM_at,flightless I homolog (Drosophila),Flii
1416045_PM_a_at,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",Smarcb1
1416046_PM_a_at,"fucosidase, alpha-L- 2, plasma",Fuca2
1416047_PM_at,"fucosidase, alpha-L- 2, plasma",Fuca2
1416048_PM_at,polyhomeotic-like 2 (Drosophila),Phc2
1416049_PM_at,glycine decarboxylase,Gldc
1416050_PM_a_at,"scavenger receptor class B, member 1",Scarb1
1416051_PM_at,complement component 2 (within H-2S),C2
1416052_PM_at,phosphoribosyl pyrophosphate synthetase 1,Prps1
1416053_PM_at,"leucine rich repeat protein 1, neuronal",Lrrn1
1416054_PM_at,ribosomal protein S5,Rps5
1416055_PM_at,amylase 2a1 /// amylase 2a2 /// amylase 2a3 /// amylase 2a4 /// amylase 2a5,Amy2a1 /// Amy2a2 /// Amy2a3 /// Amy2a4 /// Amy2a5
1416056_PM_a_at,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11",Ndufb11
1416057_PM_at,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11",Ndufb11
1416058_PM_s_at,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",Atp5c1
1416059_PM_at,SEC23B (S. cerevisiae),Sec23b
1416060_PM_at,"TBC1 domain family, member 15",Tbc1d15
1416061_PM_at,"TBC1 domain family, member 15",Tbc1d15
1416062_PM_at,"TBC1 domain family, member 15",Tbc1d15
1416063_PM_x_at,carcinoembryonic antigen-related cell adhesion molecule 11,Ceacam11
1416064_PM_a_at,heat shock protein 5,Hspa5
1416065_PM_a_at,ankyrin repeat domain 10,Ankrd10
1416066_PM_at,CD9 antigen,Cd9
1416067_PM_at,interferon-related developmental regulator 1,Ifrd1
1416068_PM_at,lysyl-tRNA synthetase,Kars
1416069_PM_at,"phosphofructokinase, platelet",Pfkp
1416070_PM_a_at,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,Ddx18
1416071_PM_at,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,Ddx18
1416072_PM_at,CD34 antigen,Cd34
1416073_PM_a_at,nucleoporin 85,Nup85
1416074_PM_a_at,predicted pseudogene 10051 /// ribosomal protein L28,Gm10051 /// Rpl28
1416075_PM_at,salvador homolog 1 (Drosophila),Sav1
1416076_PM_at,cyclin B1 /// predicted gene 5593,Ccnb1 /// Gm5593
1416077_PM_at,adrenomedullin,Adm
1416078_PM_s_at,v-raf-leukemia viral oncogene 1,Raf1
1416079_PM_a_at,"actin related protein 2/3 complex, subunit 1A",Arpc1a
