Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
S142P2C 	16	105000	90135000	7862	0.000000
S142P2C 	17	15000	81075000	8103	0.000000
S142P2C 	18	165000	76245000	7607	0.000000
S142P2C 	18	76275000	78015000	175	-0.173451
S142P2C 	19	285000	59085000	5879	0.000000
S142P2C 	20	75000	62895000	6279	0.000000
S142P2C 	21	15495000	48075000	3252	0.000000
S142P2C 	22	17295000	51165000	3388	0.000000
S159P2  	1	855000	249195000	22430	0.000000
S159P2  	2	45000	242985000	23646	0.000000
S159P2  	3	105000	197805000	19769	0.000000
S159P2  	4	105000	190425000	19033	0.000000
S159P2  	4	190455000	190785000	34	-0.297683
S159P2  	5	75000	180525000	18046	0.000000
S159P2  	5	180555000	180675000	13	-0.160865
S159P2  	6	225000	170895000	17066	0.000000
S159P2  	7	45000	159105000	15403	0.000000
S159P2  	8	195000	146295000	14609	0.000000
S159P2  	9	225000	140415000	10791	0.000000
S159P2  	9	140445000	140985000	55	0.468911
S159P2  	10	135000	135405000	13526	0.000000
S159P2  	11	225000	134925000	13467	0.000000
S159P2  	12	195000	133815000	13359	0.000000
S159P2  	13	19545000	115095000	9556	0.000000
S159P2  	14	20205000	107295000	8710	0.000000
S159P2  	15	22335000	102375000	8001	0.000000
S159P2  	16	105000	90135000	7862	0.000000
S159P2  	17	15000	81075000	8103	0.000000
S159P2  	18	165000	78015000	7782	0.000000
S159P2  	19	285000	59085000	5879	0.000000
S159P2  	20	75000	62895000	6279	0.000000
S159P2  	21	15495000	48075000	3252	0.000000
S159P2  	22	17295000	51165000	3388	0.000000
SCS6P2N 	1	855000	249195000	22430	0.000000
SCS6P2N 	2	45000	242775000	23627	0.000000
SCS6P2N 	2	242805000	242985000	19	-0.193906
SCS6P2N 	3	105000	197655000	19756	0.000000
SCS6P2N 	3	197685000	197805000	13	0.670667
SCS6P2N 	4	105000	190425000	19033	0.000000
SCS6P2N 	4	190455000	190785000	34	0.127855
SCS6P2N 	5	75000	180675000	18059	0.000000
SCS6P2N 	6	225000	170745000	17053	0.000000
SCS6P2N 	6	170775000	170895000	13	-0.187099
SCS6P2N 	7	45000	158655000	15362	0.000000
SCS6P2N 	7	158685000	158955000	28	-0.656124
SCS6P2N 	7	158985000	159105000	13	-0.926888
SCS6P2N 	8	195000	146115000	14593	0.000000
SCS6P2N 	8	146145000	146295000	16	0.536463
SCS6P2N 	9	225000	140985000	10846	0.000000
SCS6P2N 	10	135000	135405000	13526	0.000000
SCS6P2N 	11	225000	134925000	13467	0.000000
SCS6P2N 	12	195000	133815000	13359	0.000000
SCS6P2N 	13	19545000	115095000	9556	0.000000
SCS6P2N 	14	20205000	107295000	8710	0.000000
SCS6P2N 	15	22335000	102375000	8001	0.000000
SCS6P2N 	16	105000	90135000	7862	0.000000
SCS6P2N 	17	15000	78915000	7889	0.000000
SCS6P2N 	17	78945000	81075000	214	-0.192169
SCS6P2N 	18	165000	78015000	7782	0.000000
SCS6P2N 	19	285000	59085000	5879	0.000000
SCS6P2N 	20	75000	62895000	6279	0.000000
SCS6P2N 	21	15495000	48075000	3252	0.000000
SCS6P2N 	22	17295000	51165000	3388	0.000000
SCS18P5 	1	855000	249195000	22430	0.000000
SCS18P5 	2	45000	242985000	23646	0.000000
SCS18P5 	3	105000	197805000	19769	0.000000
SCS18P5 	4	105000	190425000	19033	0.000000
SCS18P5 	4	190455000	190785000	34	0.572908
SCS18P5 	5	75000	180675000	18059	0.000000
SCS18P5 	6	225000	170745000	17053	0.000000
SCS18P5 	6	170775000	170895000	13	-0.226253
SCS18P5 	7	45000	159105000	15403	0.000000
SCS18P5 	8	195000	146115000	14593	0.000000
SCS18P5 	8	146145000	146295000	16	0.202700
SCS18P5 	9	225000	140115000	10763	0.000000
SCS18P5 	9	140145000	140415000	28	0.488943
SCS18P5 	9	140445000	140985000	55	1.087229
SCS18P5 	10	135000	135405000	13526	0.000000
SCS18P5 	11	225000	134295000	13408	0.000000
SCS18P5 	11	134325000	134595000	28	-0.312403
SCS18P5 	11	134625000	134925000	31	-0.467453
SCS18P5 	12	195000	133815000	13359	0.000000
SCS18P5 	13	19545000	115095000	9556	0.000000
SCS18P5 	14	20205000	107295000	8710	0.000000
SCS18P5 	15	22335000	102375000	8001	0.000000
SCS18P5 	16	105000	90135000	7862	0.000000
SCS18P5 	17	15000	81075000	8103	0.000000
SCS18P5 	18	165000	78015000	7782	0.000000
SCS18P5 	19	285000	59085000	5879	0.000000
SCS18P5 	20	75000	62895000	6279	0.000000
SCS18P5 	21	15495000	48075000	3252	0.000000
SCS18P5 	22	17295000	51165000	3388	0.000000
SL14P0  	1	855000	249195000	22430	0.000000
SL14P0  	2	45000	242985000	23646	0.000000
SL14P0  	3	105000	197805000	19769	0.000000
SL14P0  	4	105000	190425000	19033	0.000000
SL14P0  	4	190455000	190785000	34	-0.193371
SL14P0  	5	75000	180675000	18059	0.000000
SL14P0  	6	225000	170745000	17053	0.000000
SL14P0  	6	170775000	170895000	13	-0.158987
SL14P0  	7	45000	159105000	15403	0.000000
SL14P0  	8	195000	146295000	14609	0.000000
SL14P0  	9	225000	140985000	10846	0.000000
SL14P0  	10	135000	135405000	13526	0.000000
SL14P0  	11	225000	134925000	13467	0.000000
SL14P0  	12	195000	133815000	13359	0.000000
SL14P0  	13	19545000	115095000	9556	0.000000
SL14P0  	14	20205000	107295000	8710	0.000000
SL14P0  	15	22335000	102375000	8001	0.000000
SL14P0  	16	105000	90135000	7862	0.000000
SL14P0  	17	15000	81075000	8103	0.000000
SL14P0  	18	165000	78015000	7782	0.000000
SL14P0  	19	285000	59085000	5879	0.000000
SL14P0  	20	75000	62895000	6279	0.000000
SL14P0  	21	15495000	48075000	3252	0.000000
SL14P0  	22	17295000	51165000	3388	0.000000
SL14P1  	1	855000	249195000	22430	0.000000
SL14P1  	2	45000	242775000	23627	0.000000
SL14P1  	2	242805000	242985000	19	-0.668927
SL14P1  	3	105000	197655000	19756	0.000000
SL14P1  	3	197685000	197805000	13	0.196492
SL14P1  	4	105000	190785000	19067	0.000000
SL14P1  	5	75000	180675000	18059	0.000000
SL14P1  	6	225000	170745000	17053	0.000000
SL14P1  	6	170775000	170895000	13	-0.102368
SL14P1  	7	45000	159105000	15403	0.000000
SL14P1  	8	195000	146295000	14609	0.000000
SL14P1  	9	225000	140985000	10846	0.000000
SL14P1  	10	135000	135405000	13526	0.000000
SL14P1  	11	225000	134925000	13467	0.000000
SL14P1  	12	195000	133815000	13359	0.000000
SL14P1  	13	19545000	115095000	9556	0.000000
SL14P1  	14	20205000	107295000	8710	0.000000
SL14P1  	15	22335000	100155000	7783	0.000000
SL14P1  	15	100185000	100485000	31	0.383329
SL14P1  	15	100515000	102375000	187	0.748820
SL14P1  	16	105000	90135000	7862	0.000000
SL14P1  	17	15000	81075000	8103	0.000000
SL14P1  	18	165000	78015000	7782	0.000000
SL14P1  	19	285000	59085000	5879	0.000000
SL14P1  	20	75000	62895000	6279	0.000000
SL14P1  	21	15495000	48075000	3252	0.000000
SL14P1  	22	17295000	51165000	3388	0.000000
SL14Skin	1	855000	249195000	22430	0.000000
SL14Skin	2	45000	242985000	23646	0.000000
SL14Skin	3	105000	197805000	19769	0.000000
SL14Skin	4	105000	190785000	19067	0.000000
SL14Skin	5	75000	180675000	18059	0.000000
SL14Skin	6	225000	170895000	17066	0.000000
SL14Skin	7	45000	159105000	15403	0.000000
SL14Skin	8	195000	146295000	14609	0.000000
SL14Skin	9	225000	140985000	10846	0.000000
SL14Skin	10	135000	135405000	13526	0.000000
SL14Skin	11	225000	134925000	13467	0.000000
SL14Skin	12	195000	133815000	13359	0.000000
SL14Skin	13	19545000	115095000	9556	0.000000
SL14Skin	14	20205000	107295000	8710	0.000000
SL14Skin	15	22335000	102375000	8001	0.000000
SL14Skin	16	105000	90135000	7862	0.000000
SL14Skin	17	15000	81075000	8103	0.000000
SL14Skin	18	165000	78015000	7782	0.000000
SL14Skin	19	285000	59085000	5879	0.000000
SL14Skin	20	75000	62895000	6279	0.000000
SL14Skin	21	15495000	48075000	3252	0.000000
SL14Skin	22	17295000	51165000	3388	0.000000
